"taxon"	"kingdom"	"phylum"	"class"	"order"	"family"	"genus"
"Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Blautia"	"Bacteria"	"Bacillota"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Blautia"
"Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Coprococcus"	"Bacteria"	"Bacillota"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Coprococcus"
"Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Dorea"	"Bacteria"	"Bacillota"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Dorea"
"Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Howardella"	"Bacteria"	"Bacillota"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Howardella"
"Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Lachnospiraceae NK4A136 group"	"Bacteria"	"Bacillota"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Lachnospiraceae NK4A136 group"
"Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Lachnospiraceae UCG-003"	"Bacteria"	"Bacillota"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Lachnospiraceae UCG-003"
"Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Mediterraneibacter"	"Bacteria"	"Bacillota"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Mediterraneibacter"
"Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Roseburia"	"Bacteria"	"Bacillota"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Roseburia"
"Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.[Eubacterium] eligens group"	"Bacteria"	"Bacillota"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"[Eubacterium] eligens group"
"Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.[Eubacterium] ruminantium group"	"Bacteria"	"Bacillota"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"[Eubacterium] ruminantium group"
"Bacteria.Bacillota.Clostridia.NA.NA.NA"	"Bacteria"	"Bacillota"	"Clostridia"	"NA"	"NA"	"NA"
"Bacteria.Bacillota.Clostridia.Oscillospirales.Oscillospiraceae.Colidextribacter"	"Bacteria"	"Bacillota"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	"Colidextribacter"
"Bacteria.Bacillota.Clostridia.Oscillospirales.Oscillospiraceae.UCG-002"	"Bacteria"	"Bacillota"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	"UCG-002"
"Bacteria.Bacillota.Clostridia.Oscillospirales.Ruminococcaceae.CAG-352"	"Bacteria"	"Bacillota"	"Clostridia"	"Oscillospirales"	"Ruminococcaceae"	"CAG-352"
"Bacteria.Bacillota.Clostridia.Oscillospirales.Ruminococcaceae.Faecalibacterium"	"Bacteria"	"Bacillota"	"Clostridia"	"Oscillospirales"	"Ruminococcaceae"	"Faecalibacterium"
"Bacteria.Bacillota.Clostridia.Oscillospirales.Ruminococcaceae.Gemmiger"	"Bacteria"	"Bacillota"	"Clostridia"	"Oscillospirales"	"Ruminococcaceae"	"Gemmiger"
"Bacteria.Bacillota.Clostridia.Oscillospirales.Ruminococcaceae.NA"	"Bacteria"	"Bacillota"	"Clostridia"	"Oscillospirales"	"Ruminococcaceae"	"NA"
"Bacteria.Bacillota.Clostridia.Oscillospirales.Ruminococcaceae.Ruminococcus"	"Bacteria"	"Bacillota"	"Clostridia"	"Oscillospirales"	"Ruminococcaceae"	"Ruminococcus"
"Bacteria.Bacillota.Clostridia.Oscillospirales.Ruminococcaceae.Subdoligranulum"	"Bacteria"	"Bacillota"	"Clostridia"	"Oscillospirales"	"Ruminococcaceae"	"Subdoligranulum"
"Bacteria.Bacillota.Clostridia.Oscillospirales.Ruminococcaceae.[Eubacterium] siraeum group"	"Bacteria"	"Bacillota"	"Clostridia"	"Oscillospirales"	"Ruminococcaceae"	"[Eubacterium] siraeum group"
"Bacteria.Bacillota.Clostridia.Oscillospirales.UCG-010.Incertae Sedis"	"Bacteria"	"Bacillota"	"Clostridia"	"Oscillospirales"	"UCG-010"	"Incertae Sedis"
"Bacteria.Bacillota.Clostridia.Peptostreptococcales-Tissierellales.Peptostreptococcaceae.Romboutsia"	"Bacteria"	"Bacillota"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Peptostreptococcaceae"	"Romboutsia"
"Bacteria.Bacillota.NA.NA.NA.NA"	"Bacteria"	"Bacillota"	"NA"	"NA"	"NA"	"NA"
"Bacteria.Bacillota.Negativicutes.Acidaminococcales.Acidaminococcaceae.Phascolarctobacterium"	"Bacteria"	"Bacillota"	"Negativicutes"	"Acidaminococcales"	"Acidaminococcaceae"	"Phascolarctobacterium"
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Prevotellaceae.Incertae Sedis"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Incertae Sedis"
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Prevotellaceae.Segatella"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Segatella"
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	"Alistipes"
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Tannerellaceae.Parabacteroides"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Tannerellaceae"	"Parabacteroides"
"Bacteria.NA.NA.NA.NA.NA"	"Bacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Burkholderiales.Oxalobacteraceae.Oxalobacter"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Oxalobacteraceae"	"Oxalobacter"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Cronobacter"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Cronobacter"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Enterobacter"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Enterobacter"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Klebsiella"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Klebsiella"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Lelliottia"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Lelliottia"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.NA"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"NA"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Pseudocitrobacter"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Pseudocitrobacter"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Enterobacterales.Pasteurellaceae.Haemophilus"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Enterobacterales"	"Pasteurellaceae"	"Haemophilus"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Enterobacterales.Succinivibrionaceae.Succinivibrio"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Enterobacterales"	"Succinivibrionaceae"	"Succinivibrio"
"Archaea.Methanobacteriota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter"	"Archaea"	"Methanobacteriota"	"Methanobacteria"	"Methanobacteriales"	"Methanobacteriaceae"	"Methanobrevibacter"
"Bacteria.Actinomycetota.Actinobacteria.Micrococcales.Micrococcaceae.Rothia"	"Bacteria"	"Actinomycetota"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Rothia"
"Bacteria.Actinomycetota.Coriobacteriia.Coriobacteriales.Eggerthellaceae.Eggerthella"	"Bacteria"	"Actinomycetota"	"Coriobacteriia"	"Coriobacteriales"	"Eggerthellaceae"	"Eggerthella"
"Bacteria.Bacillota.Bacilli.Erysipelotrichales.Erysipelatoclostridiaceae.Catenibacterium"	"Bacteria"	"Bacillota"	"Bacilli"	"Erysipelotrichales"	"Erysipelatoclostridiaceae"	"Catenibacterium"
"Bacteria.Bacillota.Bacilli.Erysipelotrichales.Erysipelotrichaceae.Incertae Sedis"	"Bacteria"	"Bacillota"	"Bacilli"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Incertae Sedis"
"Bacteria.Bacillota.Bacilli.Lactobacillales.Enterococcaceae.Enterococcus"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"
"Bacteria.Bacillota.Bacilli.Lactobacillales.Enterococcaceae.Incertae Sedis"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Incertae Sedis"
"Bacteria.Bacillota.Bacilli.Lactobacillales.Lactobacillaceae.HT002"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"HT002"
"Bacteria.Bacillota.Bacilli.Lactobacillales.Lactobacillaceae.Incertae Sedis"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Incertae Sedis"
"Bacteria.Bacillota.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"
"Bacteria.Bacillota.Bacilli.Lactobacillales.Lactobacillaceae.NA"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"NA"
"Bacteria.Bacillota.Bacilli.Staphylococcales.Gemellaceae.Gemella"	"Bacteria"	"Bacillota"	"Bacilli"	"Staphylococcales"	"Gemellaceae"	"Gemella"
"Bacteria.Bacillota.Bacilli.Staphylococcales.Staphylococcaceae.Staphylococcus"	"Bacteria"	"Bacillota"	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"Staphylococcus"
"Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.NA"	"Bacteria"	"Bacillota"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"NA"
"Bacteria.Bacillota.Clostridia.Oscillospirales.Butyricicoccaceae.Agathobaculum"	"Bacteria"	"Bacillota"	"Clostridia"	"Oscillospirales"	"Butyricicoccaceae"	"Agathobaculum"
"Bacteria.Bacillota.Clostridia.Oscillospirales.Oscillospiraceae.Intestinimonas"	"Bacteria"	"Bacillota"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	"Intestinimonas"
"Bacteria.Bacillota.Clostridia.Oscillospirales.Oscillospiraceae.NA"	"Bacteria"	"Bacillota"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	"NA"
"Bacteria.Bacillota.Clostridia.Oscillospirales.Oscillospiraceae.NK4A214 group"	"Bacteria"	"Bacillota"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	"NK4A214 group"
"Bacteria.Bacillota.Clostridia.Oscillospirales.Ruminococcaceae.Acutalibacter"	"Bacteria"	"Bacillota"	"Clostridia"	"Oscillospirales"	"Ruminococcaceae"	"Acutalibacter"
"Bacteria.Bacillota.Clostridia.Oscillospirales.Ruminococcaceae.Incertae Sedis"	"Bacteria"	"Bacillota"	"Clostridia"	"Oscillospirales"	"Ruminococcaceae"	"Incertae Sedis"
"Bacteria.Bacillota.Clostridia.Peptostreptococcales-Tissierellales.Anaerovoracaceae.Mogibacterium"	"Bacteria"	"Bacillota"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Anaerovoracaceae"	"Mogibacterium"
"Bacteria.Bacillota.Clostridia.Peptostreptococcales-Tissierellales.Peptostreptococcaceae.NA"	"Bacteria"	"Bacillota"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Peptostreptococcaceae"	"NA"
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Prevotellaceae.Massiliprevotella"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Massiliprevotella"
"Bacteria.Pseudomonadota.Alphaproteobacteria.Hyphomicrobiales.Beijerinckiaceae.Microvirga"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Beijerinckiaceae"	"Microvirga"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Burkholderiales.Alcaligenaceae.Achromobacter"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Alcaligenaceae"	"Achromobacter"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Burkholderiales.Alcaligenaceae.Corticimicrobacter"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Alcaligenaceae"	"Corticimicrobacter"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Buttiauxella"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Buttiauxella"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Escherichia-Shigella"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Escherichia-Shigella"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Enterobacterales.NA.NA"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Enterobacterales"	"NA"	"NA"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Lysobacterales.Lysobacteraceae.Stenotrophomonas"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Lysobacterales"	"Lysobacteraceae"	"Stenotrophomonas"
"Bacteria.Verrucomicrobiota.Verrucomicrobiia.Verrucomicrobiales.Akkermansiaceae.Akkermansia"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiia"	"Verrucomicrobiales"	"Akkermansiaceae"	"Akkermansia"
"Bacteria.Actinomycetota.Coriobacteriia.Coriobacteriales.Eggerthellaceae.Incertae Sedis"	"Bacteria"	"Actinomycetota"	"Coriobacteriia"	"Coriobacteriales"	"Eggerthellaceae"	"Incertae Sedis"
"Bacteria.Actinomycetota.Coriobacteriia.Coriobacteriales.Eggerthellaceae.Slackia"	"Bacteria"	"Actinomycetota"	"Coriobacteriia"	"Coriobacteriales"	"Eggerthellaceae"	"Slackia"
"Bacteria.Bacillota.Bacilli.Erysipelotrichales.Erysipelatoclostridiaceae.Erysipelotrichaceae UCG-003"	"Bacteria"	"Bacillota"	"Bacilli"	"Erysipelotrichales"	"Erysipelatoclostridiaceae"	"Erysipelotrichaceae UCG-003"
"Bacteria.Bacillota.Bacilli.Erysipelotrichales.Erysipelatoclostridiaceae.Massiliomicrobiota"	"Bacteria"	"Bacillota"	"Bacilli"	"Erysipelotrichales"	"Erysipelatoclostridiaceae"	"Massiliomicrobiota"
"Bacteria.Bacillota.Clostridia.Oscillospirales.Ruminococcaceae.Caproiciproducens"	"Bacteria"	"Bacillota"	"Clostridia"	"Oscillospirales"	"Ruminococcaceae"	"Caproiciproducens"
"Bacteria.Bacillota.Clostridia.Oscillospirales.Ruminococcaceae.Fournierella"	"Bacteria"	"Bacillota"	"Clostridia"	"Oscillospirales"	"Ruminococcaceae"	"Fournierella"
"Bacteria.Bacillota.Clostridia.Oscillospirales.[Eubacterium] coprostanoligenes group.Incertae Sedis"	"Bacteria"	"Bacillota"	"Clostridia"	"Oscillospirales"	"[Eubacterium] coprostanoligenes group"	"Incertae Sedis"
"Bacteria.Bacillota.Clostridia.Peptococcales.Peptococcaceae.Peptococcus"	"Bacteria"	"Bacillota"	"Clostridia"	"Peptococcales"	"Peptococcaceae"	"Peptococcus"
"Bacteria.Bacillota.Clostridia.Peptostreptococcales-Tissierellales.Anaerovoracaceae.Family XIII AD3011 group"	"Bacteria"	"Bacillota"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Anaerovoracaceae"	"Family XIII AD3011 group"
"Bacteria.Bacillota.Clostridia.Peptostreptococcales-Tissierellales.Family XI.Parvimonas"	"Bacteria"	"Bacillota"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Family XI"	"Parvimonas"
"Bacteria.Bacillota.Clostridia.Peptostreptococcales-Tissierellales.Peptostreptococcaceae.Intestinibacter"	"Bacteria"	"Bacillota"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Peptostreptococcaceae"	"Intestinibacter"
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Muribaculaceae.Incertae Sedis"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Muribaculaceae"	"Incertae Sedis"
"Bacteria.Elusimicrobiota.Elusimicrobia.Elusimicrobiales.Elusimicrobiaceae.Elusimicrobium"	"Bacteria"	"Elusimicrobiota"	"Elusimicrobia"	"Elusimicrobiales"	"Elusimicrobiaceae"	"Elusimicrobium"
"Bacteria.Pseudomonadota.Alphaproteobacteria.Hyphomicrobiales.Rhizobiaceae.Brucella"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Rhizobiaceae"	"Brucella"
"Bacteria.Pseudomonadota.Alphaproteobacteria.Hyphomicrobiales.Rhizobiaceae.NA"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Rhizobiaceae"	"NA"
"Bacteria.Pseudomonadota.Alphaproteobacteria.Hyphomicrobiales.Rhizobiaceae.Paramesorhizobium"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Rhizobiaceae"	"Paramesorhizobium"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Burkholderiales.Alcaligenaceae.NA"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Alcaligenaceae"	"NA"
"Bacteria.Acidobacteriota.Blastocatellia.Blastocatellales.Blastocatellaceae.NA"	"Bacteria"	"Acidobacteriota"	"Blastocatellia"	"Blastocatellales"	"Blastocatellaceae"	"NA"
"Bacteria.Actinomycetota.Actinobacteria.Actinomycetales.Actinomycetaceae.Schaalia"	"Bacteria"	"Actinomycetota"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Schaalia"
"Bacteria.Actinomycetota.Actinobacteria.Micrococcales.Intrasporangiaceae.Ornithinimicrobium"	"Bacteria"	"Actinomycetota"	"Actinobacteria"	"Micrococcales"	"Intrasporangiaceae"	"Ornithinimicrobium"
"Bacteria.Bacillota.Bacilli.Bacillales.Bacillaceae.Bacillus"	"Bacteria"	"Bacillota"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"
"Bacteria.Bacillota.Bacilli.Lactobacillales.P5D1-392.Incertae Sedis"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"P5D1-392"	"Incertae Sedis"
"Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Anaerostipes"	"Bacteria"	"Bacillota"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Anaerostipes"
"Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Fusicatenibacter"	"Bacteria"	"Bacillota"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Fusicatenibacter"
"Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Marvinbryantia"	"Bacteria"	"Bacillota"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Marvinbryantia"
"Bacteria.Bacillota.Negativicutes.Veillonellales-Selenomonadales.Veillonellaceae.Dialister"	"Bacteria"	"Bacillota"	"Negativicutes"	"Veillonellales-Selenomonadales"	"Veillonellaceae"	"Dialister"
"Bacteria.Bacillota.Negativicutes.Veillonellales-Selenomonadales.Veillonellaceae.Megasphaera"	"Bacteria"	"Bacillota"	"Negativicutes"	"Veillonellales-Selenomonadales"	"Veillonellaceae"	"Megasphaera"
"Bacteria.Bacteroidota.Bacteroidia.Chitinophagales.Chitinophagaceae.Haoranjiania"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Chitinophagaceae"	"Haoranjiania"
"Bacteria.Bacteroidota.Bacteroidia.Chitinophagales.Chitinophagaceae.NA"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Chitinophagaceae"	"NA"
"Bacteria.Bacteroidota.Bacteroidia.Chitinophagales.Chitinophagaceae.Niabella"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Chitinophagaceae"	"Niabella"
"Bacteria.Bacteroidota.Bacteroidia.Flavobacteriales.Weeksellaceae.Chryseobacterium"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Weeksellaceae"	"Chryseobacterium"
"Bacteria.Bacteroidota.Bacteroidia.Sphingobacteriales.Sphingobacteriaceae.Sphingobacterium"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Sphingobacterium"
"Bacteria.Patescibacteria.Saccharimonadia.Saccharimonadales.Incertae Sedis.Incertae Sedis"	"Bacteria"	"Patescibacteria"	"Saccharimonadia"	"Saccharimonadales"	"Incertae Sedis"	"Incertae Sedis"
"Bacteria.Patescibacteria.Saccharimonadia.Saccharimonadales.Saccharimonadaceae.TM7a"	"Bacteria"	"Patescibacteria"	"Saccharimonadia"	"Saccharimonadales"	"Saccharimonadaceae"	"TM7a"
"Bacteria.Pseudomonadota.Alphaproteobacteria.Rhodobacterales.Paracoccaceae.Paracoccus"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Rhodobacterales"	"Paracoccaceae"	"Paracoccus"
"Bacteria.Pseudomonadota.Alphaproteobacteria.Sphingomonadales.Sphingomonadaceae.NA"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"NA"
"Bacteria.Pseudomonadota.Alphaproteobacteria.Sphingomonadales.Sphingomonadaceae.SD04E11"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"SD04E11"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Burkholderiales.Comamonadaceae.Ottowia"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Ottowia"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Lysobacterales.Lysobacteraceae.Luteimonas"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Lysobacterales"	"Lysobacteraceae"	"Luteimonas"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Lysobacterales.Lysobacteraceae.Thermomonas"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Lysobacterales"	"Lysobacteraceae"	"Thermomonas"
"Bacteria.Actinomycetota.Actinobacteria.Mycobacteriales.Nocardiaceae.Rhodococcus"	"Bacteria"	"Actinomycetota"	"Actinobacteria"	"Mycobacteriales"	"Nocardiaceae"	"Rhodococcus"
"Bacteria.Bacillota.Bacilli.Erysipelotrichales.Erysipelotrichaceae.Erysipelotrichaceae UCG-006"	"Bacteria"	"Bacillota"	"Bacilli"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Erysipelotrichaceae UCG-006"
"Bacteria.Bacillota.Bacilli.Erysipelotrichales.Erysipelotrichaceae.Turicibacter"	"Bacteria"	"Bacillota"	"Bacilli"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Turicibacter"
