"sample"	"group"	"batch"	"sequencer"
"95A"	"charles"	"BA2"	"hiseq"
"96A"	"charles"	"BA2"	"hiseq"
"97A"	"charles"	"BA2"	"hiseq"
"98A"	"charles"	"BA2"	"hiseq"
"99A"	"charles"	"AA1"	"hiseq"
"100A"	"charles"	"AA1"	"hiseq"
"101A"	"charles"	"BA2"	"hiseq"
"102A"	"charles"	"BA2"	"hiseq"
"103A"	"charles"	"BA2"	"hiseq"
"104A"	"bee"	"BBB"	"hiseq"
"105A"	"bee"	"BBB"	"hiseq"
"106A"	"bee"	"BBB"	"hiseq"
"107A"	"bee"	"BBB"	"hiseq"
"108A"	"bee"	"BBB"	"hiseq"
"109A"	"bee"	"BBB"	"hiseq"
"110A"	"bee"	"BBB"	"hiseq"
"111A"	"bee"	"BBB"	"hiseq"
"112A"	"bee"	"BBB"	"hiseq"
"113A"	"bee"	"BBB"	"hiseq"
"114A"	"bee"	"BBB"	"hiseq"
"115A"	"bee"	"BA2"	"hiseq"
"116A"	"bee"	"BA2"	"hiseq"
"117A"	"bee"	"BA2"	"hiseq"
"118A"	"bee"	"BA2"	"hiseq"
"119A"	"bee"	"BA2"	"hiseq"
"120A"	"bee"	"BA2"	"hiseq"
"121A"	"bee"	"BA2"	"hiseq"
"122A"	"bee"	"BA2"	"hiseq"
"123A"	"bee"	"BA2"	"hiseq"
"124A"	"bee"	"BA2"	"hiseq"
"125A"	"bee"	"BA2"	"hiseq"
"126A"	"bee"	"BA2"	"hiseq"
"127A"	"bee"	"BA2"	"hiseq"
"128A"	"bee"	"BA2"	"hiseq"
"129A"	"bee"	"BA2"	"hiseq"
"130A"	"bee"	"BA2"	"hiseq"
"131A"	"bee"	"BA2"	"hiseq"
"132A"	"bee"	"BA2"	"hiseq"
"133A"	"bee"	"BA2"	"hiseq"
"134A"	"bee"	"BA2"	"hiseq"
"135A"	"bee"	"BA2"	"hiseq"
"136A"	"bee"	"BA2"	"hiseq"
"137A"	"taf"	"BA2"	"hiseq"
"138A"	"taf"	"AA1"	"hiseq"
"139A"	"taf"	"AA1"	"hiseq"
"140A"	"taf"	"AA1"	"hiseq"
"141A"	"taf"	"AA1"	"hiseq"
"142A"	"taf"	"AA1"	"hiseq"
"143A"	"taf"	"AA1"	"hiseq"
"144A"	"taf"	"AA1"	"hiseq"
"145A"	"taf"	"AA1"	"hiseq"
"146A"	"taf"	"AA1"	"hiseq"
"147A"	"taf"	"AA1"	"hiseq"
"148A"	"taf"	"AA1"	"hiseq"
"149A"	"taf"	"AA1"	"hiseq"
"150A"	"taf"	"AA1"	"hiseq"
"151A"	"taf"	"AA1"	"hiseq"
"152A"	"taf"	"AA1"	"hiseq"
"153A"	"taf"	"AA1"	"hiseq"
"154A"	"taf"	"AA1"	"hiseq"
"155A"	"taf"	"AA1"	"hiseq"
"156A"	"taf"	"AA1"	"hiseq"
"157A"	"taf"	"AA1"	"hiseq"
"158A"	"taf"	"AA1"	"hiseq"
"159A"	"taf"	"AA1"	"hiseq"
"160A"	"taf"	"AA1"	"hiseq"
"161A"	"taf"	"AA1"	"hiseq"
"162A"	"taf"	"AA1"	"hiseq"
"163A"	"taf"	"AA1"	"hiseq"
"164A"	"taf"	"AA1"	"hiseq"
"165A"	"taf"	"AA1"	"hiseq"
"166A"	"taf"	"AA1"	"hiseq"
"167A"	"taf"	"AA1"	"hiseq"
"168A"	"taf"	"AA1"	"hiseq"
"169A"	"taf"	"AA1"	"hiseq"
"170A"	"taf"	"BA2"	"hiseq"
"171A"	"taf"	"BA2"	"hiseq"
"172A"	"taf"	"BA2"	"hiseq"
"173A"	"taf"	"BA2"	"hiseq"
"174A"	"taf"	"BA2"	"hiseq"
"175A"	"taf"	"BA2"	"hiseq"
"176A"	"taf"	"BA2"	"hiseq"
"177A"	"taf"	"BA2"	"hiseq"
"178A"	"taf"	"BA2"	"hiseq"
"179A"	"taf"	"BA2"	"hiseq"
"180A"	"taf"	"BA2"	"hiseq"
"181A"	"taf"	"BA2"	"hiseq"
"182A"	"taf"	"BA2"	"hiseq"
"183A"	"taf"	"BA2"	"hiseq"
"184A"	"taf"	"BA2"	"hiseq"
